('house_example2', 'no-prep', 'LDA', 'SaleCondition', None, 'LDA', 'accuracy', ({'quality_metric': 0.8160351582855196}, 0.14976096153259277))
('house_example2', 'no-prep', 'NB', 'SaleCondition', None, 'NB', 'accuracy', ({'quality_metric': 0.10413783363931647}, 0.0771479606628418))
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.22341783427202447, 131.84536910057068)
('house_example2', 'learn2clean', 'LDA', 'SaleCondition', None, 'ZSB -> ED -> LDA', 'accuracy', 0.825612307574187, 4.479885816574097)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'WR -> IQR -> NB', 'accuracy', 0.6113294600136706, 4.947214841842651)
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'DS -> WR -> LOF -> LASSO', 'MSE', ({'quality_metric': 1527572357.799871}, 0.6387279033660889))
('house_example2', 'random', 'OLS', 'SalePrice', None, 'WR -> OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.8593120574951172))
('house_example2', 'random', 'MARS', 'SalePrice', None, 'MM -> ED -> MARS', 'MSE', ({'quality_metric': 0.1318089960069276}, 6.196397066116333))
('house_example2', 'no-prep', 'LASSO', 'SalePrice', None, 'LASSO', 'MSE', ({'quality_metric': 1368302034.8029606}, 0.2976369857788086))
('house_example2', 'no-prep', 'OLS', 'SalePrice', None, 'OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.029772043228149414))
('house_example2', 'no-prep', 'MARS', 'SalePrice', None, 'MARS', 'MSE', ({'quality_metric': 0.13182415272055714}, 6.417038202285767))
('house_example2', 'no-prep', 'CART', 'SaleCondition', None, 'CART', 'accuracy', ({'quality_metric': 0.8828343454314362}, 119.39747285842896))
('house_example2', 'no-prep', 'LDA', 'SaleCondition', None, 'LDA', 'accuracy', ({'quality_metric': 0.8160351582855196}, 0.23090887069702148))
('house_example2', 'no-prep', 'NB', 'SaleCondition', None, 'NB', 'accuracy', ({'quality_metric': 0.10413783363931647}, 0.0988619327545166))
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.22341783427202447, 87.328045129776)
('house_example2', 'learn2clean', 'HCA', 'SaleCondition', None, 'ZSB -> ED -> HCA', 'silhouette', 0.966, 24.762821197509766)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'WR -> IQR -> NB', 'accuracy', 0.6113294600136706, 4.246754884719849)
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'DS -> Tree -> LOF -> LASSO', 'MSE', ({'quality_metric': 1527572357.799871}, 0.4899899959564209))
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.22341783427202447, 99.43766713142395)
('house_example2', 'learn2clean', 'HCA', 'SaleCondition', None, 'ZSB -> ED -> HCA', 'silhouette', 0.966, 26.125481843948364)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'WR -> IQR -> NB', 'accuracy', 0.6113294600136706, 4.24373984336853)
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'ZS -> LC -> LASSO', 'MSE', ({'quality_metric': 45180349743.326294}, 0.3306291103363037))
('house_example2', 'random', 'OLS', 'SalePrice', None, 'MM -> IQR -> OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.11611127853393555))
('house_example2', 'random', 'MARS', 'SalePrice', None, 'DS -> LC -> ZSB -> ED -> MARS', 'MSE', ({'quality_metric': 0.2873331222854142}, 4.78288722038269))
('house_example2', 'no-prep', 'LASSO', 'SalePrice', None, 'LASSO', 'MSE', ({'quality_metric': 1368302034.8029606}, 0.3664970397949219))
('house_example2', 'no-prep', 'OLS', 'SalePrice', None, 'OLS', 'MSE', ({'quality_metric': 6311111264.297448}, 0.027478933334350586))
('house_example2', 'no-prep', 'MARS', 'SalePrice', None, 'MARS', 'MSE', ({'quality_metric': 0.13182415272055714}, 7.832535028457642))
('house_example2', 'no-prep', 'CART', 'SaleCondition', None, 'CART', 'accuracy', ({'quality_metric': 0.8828343454314362}, 106.44552898406982))
('house_example2', 'no-prep', 'LDA', 'SaleCondition', None, 'LDA', 'accuracy', ({'quality_metric': 0.8160351582855196}, 0.10386490821838379))
('house_example2', 'no-prep', 'NB', 'SaleCondition', None, 'NB', 'accuracy', ({'quality_metric': 0.10413783363931647}, 0.06759500503540039))
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.22341783427202447, 102.6013240814209)
('house_example2', 'learn2clean', 'HCA', 'SaleCondition', None, 'ZSB -> ED -> HCA', 'silhouette', 0.966, 26.329530715942383)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'WR -> IQR -> NB', 'accuracy', 0.6113294600136706, 4.40298318862915)
('house_example2', 'random', 'LASSO', 'SalePrice', None, 'MM -> WR -> IQR -> LASSO', 'MSE', ({'quality_metric': 1369429490.2709088}, 0.5016517639160156))
('house_example2', 'learn2clean', 'MARS', 'SalePrice', None, 'LC -> LOF -> MARS', 'MSE', 0.22341783427202447, 132.7508087158203)
('house_example2', 'learn2clean', 'HCA', 'SaleCondition', None, 'ZSB -> ED -> HCA', 'silhouette', 0.966, 37.03633522987366)
('house_example2', 'learn2clean', 'NB', 'SaleCondition', None, 'WR -> IQR -> NB', 'accuracy', 0.6113294600136706, 10.038688898086548)
